attr1,attr2,attr3,attr4,class
0.48325,0.82412,0.97623,0.87377,A
0.04734,0.65036,0.43908,0.93773,B
0.80524,0.91902,0.59077,0.08425,B
0.81183,0.27346,0.43407,0.9456,A
0.25629,0.58433,0.00519,0.11044,A
0.80657,0.11655,0.40148,0.51908,B
0.82303,0.03106,0.64707,0.52873,B
0.49904,0.25345,0.36659,0.16313,A
0.23285,0.44283,0.01743,0.78013,A
0.93049,0.92441,0.98452,0.13087,B
0.80308,0.93779,0.52549,0.01427,B
0.82151,0.61287,0.89655,0.77526,B
0.98798,0.22633,0.03879,0.37244,B
0.91209,0.40993,0.78966,0.28662,A
0.20567,0.86186,0.87339,0.00899,B
0.32037,0.39094,0.21276,0.65162,B
0.09107,0.83138,0.64535,0.714,A
0.23743,0.65668,0.84854,0.50635,B
0.08183,0.77424,0.34337,0.13803,A
0.87769,0.91906,0.65066,0.95424,A
0.04216,0.93046,0.34837,0.33944,A
0.68293,0.6495,0.26859,0.263,A
0.33369,0.80008,0.27433,0.94831,A
0.81263,0.73954,0.67093,0.72109,B
0.06571,0.86606,0.29158,0.63259,A
0.31524,0.42047,0.4702,0.51183,B
0.70486,0.56911,0.03733,0.75697,B
0.05728,0.47211,0.29415,0.07953,A
0.17339,0.02913,0.77489,0.46092,A
0.98655,0.43837,0.52259,0.7902,B
0.99863,0.89748,0.97856,0.54622,A
0.62398,0.74936,0.92478,0.76663,B
0.19714,0.96779,0.68317,0.49482,B
0.12896,0.75756,0.45726,0.68464,A
0.67072,0.30646,0.32085,0.30258,A
0.714,0.95277,0.59412,0.74176,A
0.04116,0.65641,0.07985,0.712,A
0.156,0.97223,0.75084,0.53429,A
0.7823,0.19922,0.77057,0.68116,A
0.03841,0.83459,0.0276,0.09348,B
0.51298,0.89601,0.81658,0.1842,A
0.08991,0.32613,0.48196,0.74986,B
0.80646,0.47881,0.06144,0.66843,A
0.2399,0.07882,0.6771,0.80973,A
0.69751,0.75258,0.14444,0.18273,A
0.17083,0.56005,0.73147,0.09639,A
0.34207,0.13719,0.40259,0.47628,A
0.19608,0.53021,0.25775,0.4767,B
0.33737,0.82745,0.31491,0.66673,A
0.23558,0.86236,0.79093,0.39168,A
0.85453,0.82142,0.52551,0.86311,A
0.71967,0.30158,0.07399,0.1307,A
0.07299,0.76141,0.42857,0.40833,A
0.83451,0.79462,0.99236,0.99538,A
0.79576,0.17956,0.30406,0.7927,A
0.84406,0.03996,0.89879,0.27961,B
0.156,0.43133,0.5035,0.31316,B
0.55454,0.22308,0.33289,0.82495,A
0.42101,0.68401,0.2923,0.0298,A
0.54042,0.72607,0.01106,0.7433,A
0.01557,0.37472,0.27877,0.51668,A
0.70222,0.86759,0.00047,0.53091,B
0.38282,0.60763,0.88372,0.86061,B
0.60824,0.44036,0.28517,0.99981,A
0.89934,0.93397,0.65987,0.62115,A
0.13461,0.49117,0.05674,0.18643,B
0.81039,0.43799,0.90284,0.20778,A
0.56391,0.64774,0.85478,0.27748,B
0.33286,0.50015,0.0426,0.82521,B
0.92383,0.96086,0.25424,0.30714,B
0.81761,0.32888,0.89836,0.35829,B
0.55811,0.90667,0.67051,0.58953,A
0.18773,0.1319,0.95821,0.62445,A
0.56124,0.98484,0.83854,0.87426,A
0.10245,0.99671,0.7332,0.0638,A
0.88295,0.52126,0.8123,0.2763,A
0.17601,0.69459,0.66861,0.32362,A
0.19802,0.99749,0.97659,0.05197,A
0.86136,0.83207,0.17518,0.89113,A
0.8762,0.68905,0.24084,0.57268,B
0.09187,0.60763,0.90661,0.62074,A
0.81188,0.51026,0.99802,0.62859,A
0.74143,0.57633,0.99493,0.05634,A
0.06307,0.43742,0.69649,0.19745,B
0.92789,0.32315,0.50009,0.7325,A
0.65021,0.00276,0.05993,0.05306,A
0.41199,0.37835,0.19983,0.84541,A
0.99499,0.97397,0.69163,0.89462,A
0.93769,0.14591,0.76274,0.12864,A
0.77996,0.8226,0.52625,0.59299,A
0.02043,0.07223,0.18115,0.13633,B
0.56991,0.09951,0.61181,0.22892,A
0.51501,0.83539,0.64411,0.03594,A
0.29307,0.5934,0.6301,0.64566,A
0.84374,0.95224,0.1091,0.8691,B
0.18216,0.44212,0.34559,0.64211,B
0.40133,0.80685,0.40277,0.75998,B
0.09469,0.64403,0.21944,0.72741,B
0.26956,0.4488,0.08938,0.13258,B
0.23194,0.81614,0.20133,0.35821,A
0.76298,0.09501,0.6207,0.00274,B
0.8606,0.52556,0.11717,0.83542,B
0.70771,0.30394,0.6219,0.87309,A
0.0414,0.79635,0.90052,0.11401,A
0.81573,0.28441,0.63732,0.92355,A
0.43378,0.36082,0.99822,0.92139,B
0.93077,0.23966,0.41003,0.71145,A
0.34546,0.23897,0.9051,0.25381,A
0.60041,0.12193,0.94746,0.85122,A
0.11889,0.4742,0.28046,0.00338,A
0.13308,0.06368,0.71465,0.59516,A
0.62705,0.37951,0.2577,0.67477,B
0.06197,0.54864,0.10993,0.9079,B
0.42905,0.38998,0.28009,0.98289,B
0.50652,0.47447,0.41825,0.61999,B
0.04683,0.8359,0.08886,0.37843,A
0.35617,0.71157,0.24777,0.53308,A
0.73044,0.13238,0.67801,0.61736,B
0.15662,0.61324,0.88936,0.05457,B
0.40069,0.50749,0.15077,0.69431,B
0.94605,0.67029,0.14923,0.10474,B
0.58168,0.26271,0.14302,0.36632,A
0.87139,0.85348,0.56898,0.23619,B
0.68268,0.28996,0.45549,0.09367,B
0.41821,0.27104,0.36404,0.23995,A
0.46318,0.24238,0.91223,0.71484,A
0.94336,0.5408,0.35434,0.64681,B
0.67279,0.30759,0.72667,0.5246,A
0.98559,0.51418,0.79355,0.29615,A
0.51895,0.46566,0.06373,0.78972,A
0.86737,0.40075,0.70203,0.26616,A
0.85368,0.30928,0.99058,0.60641,A
0.35186,0.27278,0.95743,0.15411,A
0.87488,0.74697,0.18006,0.48129,B
0.27648,0.5178,0.74702,0.38251,B
0.39091,0.29019,0.29009,0.49229,A
0.22639,0.29249,0.78476,0.55305,A
0.00221,0.15836,0.36167,0.72019,A
0.92985,0.30881,0.56746,0.69579,A
0.69068,0.77365,0.89267,0.53721,A
0.92287,0.1924,0.82044,0.06852,B
0.9914,0.31597,0.38585,0.48998,A
0.18002,0.31251,0.72152,0.11454,B
0.41722,0.04656,0.20588,0.46029,B
0.06725,0.96536,0.58966,0.76585,A
0.36581,0.68325,0.49416,0.17233,B
0.52232,0.97362,0.47135,0.99062,A
0.92089,0.17609,0.41247,0.05605,B
0.07124,0.49034,0.78052,0.3269,B
0.09339,0.41139,0.40002,0.87293,A
0.67452,0.6831,0.08385,0.30539,A
0.09835,0.76724,0.77024,0.30548,A
0.59304,0.05128,0.97343,0.79285,B
0.84545,0.50353,0.74265,0.24959,A
0.28154,0.9617,0.60931,0.80143,B
0.82262,0.99578,0.2873,0.53601,A
0.23354,0.87523,0.42169,0.47122,B
0.94988,0.91501,0.37629,0.5225,A
0.73589,0.04232,0.88353,0.25745,B
0.04385,0.77313,0.37127,0.94962,A
0.20683,0.57703,0.64092,0.51366,B
0.05594,0.53516,0.39116,0.16896,B
0.06811,0.00666,0.01633,0.261,A
0.3284,0.3613,0.6581,0.15541,B
0.29011,0.58707,0.80111,0.37242,A
0.59485,0.1558,0.96428,0.95064,A
0.57556,0.16775,0.10647,0.31745,A
0.72017,0.35895,0.97218,0.5533,A
0.41326,0.99214,0.80847,0.19472,A
0.09125,0.75645,0.67131,0.5907,A
0.10931,0.59179,0.74677,0.70813,B
0.192,0.74627,0.03375,0.89509,A
0.26527,0.06624,0.28654,0.15706,B
0.33608,0.78082,0.37808,0.72887,A
0.18857,0.03038,0.71799,0.26205,B
0.5749,0.78676,0.6085,0.74934,B
0.10567,0.29772,0.74281,0.95526,A
0.6343,0.14244,0.55106,0.58341,B
0.14187,0.26297,0.14862,0.75085,B
