attr1,attr2,attr3,attr4,class
0.77804,0.53974,0.56956,0.16065,A
0.26824,0.1437,0.3106,0.51812,A
0.03714,0.75501,0.31335,0.6677,B
0.27619,0.35904,0.12518,0.79278,A
0.03952,0.08734,0.19604,0.01732,A
0.83053,0.20027,0.23332,0.40873,A
0.93873,0.90977,0.32406,0.79468,A
0.69051,0.9046,0.95082,0.74948,A
0.64404,0.10292,0.83591,0.35853,B
0.46437,0.58591,0.89218,0.23054,B
0.69624,0.29949,0.77729,0.74053,A
0.58534,0.02257,0.34146,0.86775,B
0.094,0.17103,0.6026,0.65465,B
0.59475,0.15167,0.24939,0.54877,A
0.25721,0.8966,0.36604,0.20553,A
0.53382,0.49806,0.93574,0.92074,B
0.9919,0.57937,0.16504,0.65762,B
0.01815,0.73753,0.98188,0.37008,A
0.26494,0.23322,0.5794,0.63772,A
0.67107,0.48529,0.33514,0.5793,B
0.37509,0.22854,0.77592,0.71028,A
0.04921,0.84267,0.16083,0.31608,A
0.59321,0.49851,0.75379,0.21368,A
0.0111,0.79893,0.40401,0.06568,A
0.69832,0.81415,0.82688,0.03745,B
0.52862,0.13255,0.16816,0.18577,A
0.64001,0.92715,0.5894,0.45411,A
0.04046,0.9354,0.69847,0.17755,A
0.92962,0.34242,0.70464,0.27478,A
0.70752,0.4695,0.7387,0.13071,A
0.07171,0.20679,0.05011,0.13869,A
0.92032,0.04728,0.39353,0.75034,B
0.758,0.74462,0.04737,0.76685,B
0.42917,0.80598,0.3956,0.57649,B
0.4714,0.26083,0.27958,0.00367,B
0.80859,0.70319,0.04197,0.8577,B
0.06072,0.99753,0.92313,0.3689,B
0.83614,0.84749,0.9138,0.91398,B
0.96738,0.49943,0.40337,0.82587,B
0.49461,0.89841,0.9784,0.36346,A
0.55021,0.06789,0.85899,0.83971,A
0.91299,0.72456,0.73161,0.45095,B
0.73643,0.16095,0.43271,0.25428,A
0.27846,0.64917,0.14063,0.0247,B
0.34102,0.45357,0.18853,0.51883,B
0.97146,0.62688,0.28926,0.08924,B
0.85844,0.61643,0.13252,0.32124,A
0.08971,0.93116,0.07029,0.56771,B
0.20091,0.50014,0.61841,0.82182,B
0.05488,0.89137,0.73963,0.74222,A
0.60573,0.29034,0.24875,0.52224,B
0.40823,0.88771,0.70997,0.22093,A
0.74443,0.93072,0.74089,0.14163,B
0.61626,0.29618,0.71544,0.41319,B
0.39712,0.0678,0.33302,0.00045,B
0.8501,0.33267,0.83676,0.05802,A
0.52135,0.01632,0.51805,0.09412,B
0.35571,0.32065,0.7573,0.79828,A
0.18871,0.80139,0.59098,0.73086,A
0.30517,0.98334,0.8825,0.08202,B
0.77459,0.91864,0.6256,0.99773,A
0.63523,0.73484,0.92135,0.40653,B
0.15021,0.90111,0.86018,0.0337,A
0.02345,0.66789,0.33935,0.45548,A
0.57656,0.71238,0.27948,0.49336,B
0.22917,0.60145,0.73384,0.77528,A
0.95214,0.66955,0.76745,0.63264,B
0.20356,0.35931,0.90834,0.57401,B
0.12286,0.48852,0.54527,0.95375,B
0.711,0.75106,0.06186,0.36198,B
0.51207,0.27313,0.65245,0.05526,B
0.95711,0.85952,0.5916,0.33138,B
0.5133,0.74086,0.07705,0.42292,A
0.85804,0.69277,0.96561,0.9369,B
0.05806,0.64692,0.19622,0.15683,A
0.49281,0.09318,0.28955,0.89412,B
0.11419,0.72103,0.82102,0.49381,B
0.73461,0.96579,0.22532,0.3923,A
0.52361,0.10031,0.45977,0.85722,B
0.8192,0.0863,0.03229,0.04878,B
0.00194,0.66439,0.70596,0.74748,A
0.51583,0.96499,0.3827,0.45234,A
0.94959,0.43291,0.3494,0.28412,A
0.67234,0.61255,0.35929,0.39924,B
0.76479,0.05365,0.9771,0.64114,B
0.86537,0.09619,0.96775,0.00197,B
0.63534,0.80377,0.16793,0.62342,B
0.48038,0.75786,0.76164,0.4395,B
0.2935,0.84553,0.51883,0.68059,A
0.20275,0.84487,0.90649,0.69843,B
0.6068,0.81684,0.46924,0.03266,A
0.57345,0.48289,0.71487,0.99267,B
0.2462,0.59408,0.68684,0.07832,B
0.88798,0.09682,0.70222,0.99236,B
0.36826,0.17314,0.63221,0.22994,B
0.20912,0.87486,0.15667,0.06279,B
0.76502,0.28315,0.73813,0.82299,A
0.40765,0.25937,0.09846,0.47796,B
0.00393,0.89484,0.24481,0.05226,A
0.40547,0.78981,0.73486,0.88401,B
0.84026,0.22798,0.8639,0.07043,A
0.97462,0.27229,0.51123,0.00474,B
0.401,0.67868,0.73172,0.77488,B
0.77505,0.91715,0.72369,0.49085,A
0.31161,0.26447,0.48336,0.53953,A
0.57208,0.26687,0.79554,0.24824,A
0.6264,0.34909,0.55765,0.07626,B
0.61416,0.59798,0.70724,0.21114,B
0.02162,0.50765,0.87293,0.97871,B
0.72877,0.20364,0.72438,0.98895,A
0.02368,0.20496,0.93606,0.00939,B
0.617,0.12443,0.69717,0.60023,B
0.05614,0.62102,0.89048,0.89237,A
0.1349,0.38405,0.22403,0.55001,A
0.07604,0.23954,0.76358,0.92818,A
0.78725,0.55057,0.12033,0.27738,A
0.22005,0.58313,0.59449,0.81571,A
0.53854,0.5847,0.10513,0.54674,A
0.10856,0.71638,0.48437,0.83072,B
0.13139,0.34869,0.90998,0.62109,B
0.52643,0.4412,0.40331,0.91285,B
0.07355,0.73536,0.85183,0.73572,A
0.25672,0.7398,0.72667,0.29342,B
0.86548,0.07737,0.88239,0.74375,A
0.09718,0.5034,0.17935,0.63994,A
0.25842,0.48734,0.60713,0.40079,B
0.28232,0.46011,0.38811,0.55001,B
0.24056,0.12353,0.97482,0.63299,A
0.45659,0.73192,0.16366,0.79807,B
0.6715,0.96227,0.72608,0.74032,A
0.57272,0.82771,0.74016,0.92708,B
0.52547,0.37928,0.3604,0.93972,B
0.10866,0.33145,0.48072,0.93121,A
0.80575,0.00226,0.25436,0.49441,B
0.6911,0.65635,0.28671,0.96872,B
0.60396,0.2924,0.49053,0.99055,B
0.03529,0.54839,0.03928,0.5663,A
0.59605,0.13178,0.27801,0.38588,B
0.82876,0.52587,0.20417,0.10919,A
0.61806,0.73233,0.58568,0.27315,B
0.80535,0.77787,0.95936,0.62142,A
0.61568,0.34938,0.50243,0.02135,B
